Model,Domain,Task,Mean,Std_Dev,Count,Std_Error,Margin_of_Error,CI Lower,CI Upper
bloom7b,52,xcopa,58.18333333333334,0.2173323108360339,3,0.1254768681647876,0.5398833893499404,57.6434499439834,58.723216722683276
bloom7b,52,xnli,40.876666666666665,0.10115993936995621,3,0.05840471822645044,0.2512952203167358,40.62537144634993,41.1279618869834
bloom7b,52,xstorycloze,62.03333333333333,0.050332229568468244,3,0.029059326290269184,0.1250321895922092,61.90830114374112,62.15836552292554
bloom7b,52,xwinograd,73.70666666666666,0.09291573243177983,3,0.05364492313143933,0.2308154749573679,73.4758511917093,73.93748214162403
bloom7b,6,SET AVG,56.56466666666666,0.08478993650978314,3,0.04895349266849458,0.21062987886878978,56.354036787797874,56.77529654553545
bloom7b,6,pawsx,47.54,0.14106735979665924,3,0.081445278152471,0.3504307483811125,47.189569251618884,47.890430748381114
bloom7b,6,xcopa,58.093333333333334,0.22898325994127627,3,0.1322035467670139,0.5688259514010452,57.52450738193229,58.66215928473438
bloom7b,6,xnli,41.74666666666667,0.2600640946638592,3,0.15014807506073544,0.6460350250509963,41.10063164161567,42.39270169171767
bloom7b,6,xstorycloze,61.35,0.0799999999999974,3,0.046188021535168565,0.19873101694749376,61.15126898305251,61.54873101694749
bloom7b,6,xwinograd,74.09333333333333,0.3758102358017106,3,0.21697414080433436,0.9335643792519225,73.15976895408141,75.02689771258525
bloom7b,7,SET AVG,56.401999999999994,0.09577055915050209,3,0.05529315810598336,0.23790725767012505,56.16409274232987,56.63990725767012
bloom7b,7,pawsx,46.76,0.6050619802962378,3,0.34933269720044097,1.503057283256746,45.256942716743254,48.26305728325674
bloom7b,7,xcopa,58.18333333333334,0.2968725877094924,3,0.17139946842909623,0.7374723907417923,57.445860942591544,58.92080572407513
bloom7b,7,xnli,41.1,0.045825756949561106,3,0.02645751311064747,0.11383749101219068,40.98616250898781,41.21383749101219
bloom7b,7,xstorycloze,61.35333333333333,0.4219399641339196,3,0.24360715187457954,1.0481569770390702,60.30517635629426,62.4014903103724
bloom7b,7,xwinograd,74.61333333333333,0.1900876990584483,3,0.1097471842210317,0.47220402178869764,74.14112931154463,75.08553735512203
bloom7b,8,SET AVG,56.554,0.13174217244299655,3,0.07606137872359016,0.32726569880587053,56.226734301194135,56.88126569880587
bloom7b,8,pawsx,46.77,0.3983716857408399,3,0.22999999999999893,0.9896101278795886,45.780389872120416,47.75961012787959
bloom7b,8,xcopa,58.20333333333334,0.27135462651912345,3,0.1566666666666663,0.6740822610194314,57.52925107231391,58.87741559435277
bloom7b,8,xnli,41.513333333333335,0.22278539748675885,3,0.128625209210498,0.5534296075449581,40.95990372578838,42.06676294087829
bloom7b,8,xstorycloze,61.77333333333333,0.10969655114602647,3,0.06333333333333194,0.2725013395610414,61.500831993772294,62.04583467289437
bloom7b,8,xwinograd,74.51,0.31096623610932866,3,0.17953644012660563,0.7724829542292918,73.73751704577072,75.2824829542293
bloom7b,9,SET AVG,56.54866666666667,0.14100118202814768,3,0.08140707040000648,0.3502663536906672,56.198400312976005,56.89893302035733
bloom7b,9,pawsx,47.11000000000001,0.11789826122551608,3,0.06806859285554054,0.2928755168711106,46.81712448312889,47.40287551687112
bloom7b,9,xcopa,58.03000000000001,0.36373066958946215,3,0.2099999999999988,0.9035570732813625,57.126442926718646,58.93355707328137
bloom7b,9,xnli,41.410000000000004,0.11135528725660108,3,0.06429100507328675,0.27662186848731685,41.133378131512686,41.68662186848732
bloom7b,9,xstorycloze,61.86000000000001,0.00999999999999801,3,0.00577350269189511,0.024841377118432588,61.83515862288157,61.88484137711844
bloom7b,9,xwinograd,74.33333333333333,0.25324559884296743,3,0.14621141466307525,0.6290969424442701,73.70423639088906,74.96243027577759
