,Model,Domain,Result Set,Task,Language,Score
241,bloom3b,random,2,xnli,ar,33.82
242,bloom3b,random,2,xnli,bg,38.59
243,bloom3b,random,2,xnli,de,40.32
244,bloom3b,random,2,xnli,el,33.86
245,bloom3b,random,2,xnli,en,54.42
246,bloom3b,random,2,xnli,es,48.88
247,bloom3b,random,2,xnli,fr,49.68
248,bloom3b,random,2,xnli,hi,46.22
249,bloom3b,random,2,xnli,ru,40.239999999999995
250,bloom3b,random,2,xnli,sw,35.58
251,bloom3b,random,2,xnli,th,33.410000000000004
252,bloom3b,random,2,xnli,tr,33.69
253,bloom3b,random,2,xnli,ur,38.800000000000004
254,bloom3b,random,2,xnli,vi,45.019999999999996
255,bloom3b,random,2,xnli,zh,42.49
256,bloom3b,random,2,xstorycloze,overall,59.45
257,bloom3b,random,2,xstorycloze,ar,59.56
258,bloom3b,random,2,xstorycloze,en,70.15
259,bloom3b,random,2,xstorycloze,es,67.5
260,bloom3b,random,2,xstorycloze,eu,56.65
261,bloom3b,random,2,xstorycloze,hi,60.62
262,bloom3b,random,2,xstorycloze,id,65.19
263,bloom3b,random,2,xstorycloze,my,46.53
264,bloom3b,random,2,xstorycloze,ru,51.82
265,bloom3b,random,2,xstorycloze,sw,53.47
266,bloom3b,random,2,xstorycloze,te,58.17
267,bloom3b,random,2,xstorycloze,zh,64.25999999999999
268,bloom3b,random,2,xwinograd,overall,70.62
269,bloom3b,random,2,xwinograd,en,78.92
270,bloom3b,random,2,xwinograd,fr,77.11
271,bloom3b,random,2,xwinograd,ja,55.269999999999996
272,bloom3b,random,2,xwinograd,pt,69.19999999999999
273,bloom3b,random,2,xwinograd,ru,54.6
274,bloom3b,random,2,xwinograd,zh,71.23
275,bloom3b,random,1,pawsx,overall,47.8
276,bloom3b,random,1,pawsx,de,45.550000000000004
277,bloom3b,random,1,pawsx,en,38.35
278,bloom3b,random,1,pawsx,es,41.75
279,bloom3b,random,1,pawsx,fr,53.1
280,bloom3b,random,1,pawsx,ja,55.50000000000001
281,bloom3b,random,1,pawsx,ko,49.4
282,bloom3b,random,1,pawsx,zh,50.949999999999996
283,bloom3b,random,1,xcopa,overall,56.88999999999999
284,bloom3b,random,1,xcopa,et,49.2
285,bloom3b,random,1,xcopa,ht,51.2
286,bloom3b,random,1,xcopa,id,69.8
287,bloom3b,random,1,xcopa,it,53.400000000000006
288,bloom3b,random,1,xcopa,qu,52.400000000000006
289,bloom3b,random,1,xcopa,sw,51.6
290,bloom3b,random,1,xcopa,ta,54.6
291,bloom3b,random,1,xcopa,th,53.6
292,bloom3b,random,1,xcopa,tr,53.6
293,bloom3b,random,1,xcopa,vi,70.6
294,bloom3b,random,1,xcopa,zh,65.8
295,bloom3b,random,1,xnli,overall,40.68
296,bloom3b,random,1,xnli,ar,33.57
297,bloom3b,random,1,xnli,bg,38.11
298,bloom3b,random,1,xnli,de,40.0
299,bloom3b,random,1,xnli,el,33.37
300,bloom3b,random,1,xnli,en,53.900000000000006
301,bloom3b,random,1,xnli,es,49.36
302,bloom3b,random,1,xnli,fr,49.16
303,bloom3b,random,1,xnli,hi,43.49
304,bloom3b,random,1,xnli,ru,42.61
305,bloom3b,random,1,xnli,sw,35.5
306,bloom3b,random,1,xnli,th,33.489999999999995
307,bloom3b,random,1,xnli,tr,33.69
308,bloom3b,random,1,xnli,ur,38.96
309,bloom3b,random,1,xnli,vi,44.7
310,bloom3b,random,1,xnli,zh,40.28
311,bloom3b,random,1,xstorycloze,overall,59.77
312,bloom3b,random,1,xstorycloze,ar,60.029999999999994
313,bloom3b,random,1,xstorycloze,en,71.81
314,bloom3b,random,1,xstorycloze,es,68.17
315,bloom3b,random,1,xstorycloze,eu,56.92
316,bloom3b,random,1,xstorycloze,hi,60.29
317,bloom3b,random,1,xstorycloze,id,65.64999999999999
