,Model,Domain,Result Set,Task,Score
320,mt5,typo,3,xnli,36.61
321,mt5,typo,3,xstorycloze,52.5
322,mt5,typo,3,xwinograd,49.81
323,mt5,typo,3,SET AVG,48.732000000000006
324,mt5,random,1,pawsx,50.94
325,mt5,random,1,xcopa,53.15
326,mt5,random,1,xnli,36.730000000000004
327,mt5,random,1,xstorycloze,52.239999999999995
328,mt5,random,1,xwinograd,49.830000000000005
329,mt5,random,1,SET AVG,48.578
330,mt5,random,2,pawsx,52.23
331,mt5,random,2,xcopa,52.89
332,mt5,random,2,xnli,36.96
333,mt5,random,2,xstorycloze,52.49
334,mt5,random,2,xwinograd,49.61
335,mt5,random,2,SET AVG,48.836
336,mt5,random,3,pawsx,52.059999999999995
337,mt5,random,3,xcopa,53.269999999999996
338,mt5,random,3,xnli,36.88
339,mt5,random,3,xstorycloze,52.66
340,mt5,random,3,xwinograd,50.21
341,mt5,random,3,SET AVG,49.016
342,mt5,learned,1,pawsx,51.839999999999996
343,mt5,learned,1,xcopa,53.25
344,mt5,learned,1,xnli,36.919999999999995
345,mt5,learned,1,xstorycloze,52.7
346,mt5,learned,1,xwinograd,49.669999999999995
347,mt5,learned,1,SET AVG,48.87599999999999
348,mt5,learned,3,pawsx,52.01
349,mt5,learned,3,xcopa,53.669999999999995
350,mt5,learned,3,xnli,36.480000000000004
351,mt5,learned,3,xstorycloze,52.64
352,mt5,learned,3,xwinograd,49.04
353,mt5,learned,3,SET AVG,48.768
354,mt5,learned,2,pawsx,51.21
355,mt5,learned,2,xcopa,53.510000000000005
356,mt5,learned,2,xnli,36.66
357,mt5,learned,2,xstorycloze,52.53
358,mt5,learned,2,xwinograd,50.239999999999995
359,mt5,learned,2,SET AVG,48.83
360,mt5,family,1,pawsx,52.51
361,mt5,family,1,xcopa,53.800000000000004
362,mt5,family,1,xnli,36.02
363,mt5,family,1,xstorycloze,52.44
364,mt5,family,1,xwinograd,51.11
365,mt5,family,1,SET AVG,49.176
366,mt5,family,2,pawsx,52.39
367,mt5,family,2,xcopa,53.559999999999995
368,mt5,family,2,xnli,36.33
369,mt5,family,2,xstorycloze,52.71
370,mt5,family,2,xwinograd,50.28
371,mt5,family,2,SET AVG,49.053999999999995
372,mt5,family,3,pawsx,51.93
373,mt5,family,3,xcopa,53.800000000000004
374,mt5,family,3,xnli,36.02
375,mt5,family,3,xstorycloze,52.61
376,mt5,family,3,xwinograd,51.629999999999995
377,mt5,family,3,SET AVG,49.198
378,mgpt,semantic,1,pawsx,50.09
379,mgpt,semantic,1,xcopa,55.730000000000004
380,mgpt,semantic,1,xnli,40.86
381,mgpt,semantic,1,xstorycloze,56.24
382,mgpt,semantic,1,xwinograd,60.35
383,mgpt,semantic,1,SET AVG,52.65400000000001
384,mgpt,semantic,2,pawsx,48.35
385,mgpt,semantic,2,xcopa,55.69
386,mgpt,semantic,2,xnli,40.760000000000005
387,mgpt,semantic,2,xstorycloze,56.19
388,mgpt,semantic,2,xwinograd,60.64000000000001
389,mgpt,semantic,2,SET AVG,52.326
390,mgpt,semantic,3,pawsx,49.059999999999995
391,mgpt,semantic,3,xcopa,55.42
392,mgpt,semantic,3,xnli,40.69
393,mgpt,semantic,3,xstorycloze,55.98
394,mgpt,semantic,3,xwinograd,60.709999999999994
395,mgpt,semantic,3,SET AVG,52.37199999999999
396,mgpt,learned,3,pawsx,49.04
397,mgpt,learned,3,xcopa,56.05
398,mgpt,learned,3,xnli,40.8
399,mgpt,learned,3,xstorycloze,56.21000000000001
400,mgpt,learned,3,xwinograd,61.07
401,mgpt,learned,3,SET AVG,52.634
402,mgpt,learned,1,pawsx,48.54
403,mgpt,learned,1,xcopa,56.07
404,mgpt,learned,1,xnli,40.65
405,mgpt,learned,1,xstorycloze,56.21000000000001
406,mgpt,learned,1,xwinograd,60.24
407,mgpt,learned,1,SET AVG,52.342
408,mgpt,learned,2,pawsx,49.18
409,mgpt,learned,2,xcopa,55.730000000000004
410,mgpt,learned,2,xnli,40.46
411,mgpt,learned,2,xstorycloze,56.02
412,mgpt,learned,2,xwinograd,60.67
413,mgpt,learned,2,SET AVG,52.412
414,mgpt,geo,1,pawsx,51.1
415,mgpt,geo,1,xcopa,55.88999999999999
416,mgpt,geo,1,xnli,40.89
417,mgpt,geo,1,xstorycloze,56.39999999999999
418,mgpt,geo,1,xwinograd,61.09
419,mgpt,geo,1,SET AVG,53.074
420,mgpt,geo,2,pawsx,48.99
421,mgpt,geo,2,xcopa,55.82
422,mgpt,geo,2,xnli,41.120000000000005
423,mgpt,geo,2,xstorycloze,56.3
424,mgpt,geo,2,xwinograd,61.199999999999996
425,mgpt,geo,2,SET AVG,52.686
426,mgpt,geo,3,pawsx,49.81
427,mgpt,geo,3,xcopa,55.47
428,mgpt,geo,3,xnli,41.03
429,mgpt,geo,3,xstorycloze,56.34
430,mgpt,geo,3,xwinograd,60.85
431,mgpt,geo,3,SET AVG,52.7
432,mgpt,typo,1,pawsx,50.01
433,mgpt,typo,1,xcopa,56.089999999999996
434,mgpt,typo,1,xnli,40.98
435,mgpt,typo,1,xstorycloze,56.37
436,mgpt,typo,1,xwinograd,60.62
437,mgpt,typo,1,SET AVG,52.814
438,mgpt,typo,2,pawsx,49.14
439,mgpt,typo,2,xcopa,55.669999999999995
440,mgpt,typo,2,xnli,40.75
441,mgpt,typo,2,xstorycloze,56.32
442,mgpt,typo,2,xwinograd,60.01
