,Model,Domain,Result Set,Task,Score
339,bloom1_7b,geo,2,xstorycloze,58.269999999999996
340,bloom1_7b,geo,2,xwinograd,67.61
341,bloom1_7b,geo,2,SET AVG,54.330000000000005
342,bloom1_7b,geo,2,VI AVG,54.845
343,bloom1_7b,geo,1,pawsx,51.06
344,bloom1_7b,geo,1,xcopa,56.089999999999996
345,bloom1_7b,geo,1,xnli,40.050000000000004
346,bloom1_7b,geo,1,xstorycloze,58.03
347,bloom1_7b,geo,1,xwinograd,67.86
348,bloom1_7b,geo,1,SET AVG,54.61800000000001
349,bloom1_7b,geo,1,VI AVG,55.83
350,mt5,semantic,3,pawsx,51.67
351,mt5,semantic,3,xcopa,53.33
352,mt5,semantic,3,xnli,36.5
353,mt5,semantic,3,xstorycloze,52.22
354,mt5,semantic,3,xwinograd,51.05
355,mt5,semantic,3,SET AVG,48.95399999999999
356,mt5,semantic,3,VI AVG,42.785
357,mt5,semantic,1,pawsx,51.41
358,mt5,semantic,1,xcopa,53.36
359,mt5,semantic,1,xnli,36.42
360,mt5,semantic,1,xstorycloze,52.05
361,mt5,semantic,1,xwinograd,49.919999999999995
362,mt5,semantic,1,SET AVG,48.632
363,mt5,semantic,1,VI AVG,42.885000000000005
364,mt5,semantic,2,pawsx,51.71
365,mt5,semantic,2,xcopa,53.290000000000006
366,mt5,semantic,2,xnli,36.730000000000004
367,mt5,semantic,2,xstorycloze,52.43
368,mt5,semantic,2,xwinograd,50.1
369,mt5,semantic,2,SET AVG,48.852000000000004
370,mt5,semantic,2,VI AVG,42.625
371,mt5,random,3,pawsx,50.49
372,mt5,random,3,xcopa,53.510000000000005
373,mt5,random,3,xnli,36.68
374,mt5,random,3,xstorycloze,52.44
375,mt5,random,3,xwinograd,50.870000000000005
376,mt5,random,3,SET AVG,48.798
377,mt5,random,3,VI AVG,42.665000000000006
378,mt5,random,1,pawsx,50.61
379,mt5,random,1,xcopa,53.09
380,mt5,random,1,xnli,36.69
381,mt5,random,1,xstorycloze,52.449999999999996
382,mt5,random,1,xwinograd,50.55
383,mt5,random,1,SET AVG,48.678
384,mt5,random,1,VI AVG,42.72500000000001
385,mt5,random,2,pawsx,51.24999999999999
386,mt5,random,2,xcopa,53.64
387,mt5,random,2,xnli,36.620000000000005
388,mt5,random,2,xstorycloze,52.400000000000006
389,mt5,random,2,xwinograd,50.06
390,mt5,random,2,SET AVG,48.794
391,mt5,random,2,VI AVG,42.605000000000004
392,mt5,learned,1,pawsx,52.09
393,mt5,learned,1,xcopa,53.239999999999995
394,mt5,learned,1,xnli,36.59
395,mt5,learned,1,xstorycloze,52.11
396,mt5,learned,1,xwinograd,51.54
397,mt5,learned,1,SET AVG,49.114000000000004
398,mt5,learned,1,VI AVG,43.644999999999996
399,mt5,learned,2,pawsx,52.03
400,mt5,learned,2,xcopa,53.04
401,mt5,learned,2,xnli,36.82
402,mt5,learned,2,xstorycloze,52.480000000000004
403,mt5,learned,2,xwinograd,50.89
404,mt5,learned,2,SET AVG,49.052
405,mt5,learned,2,VI AVG,43.025000000000006
406,mt5,learned,3,pawsx,52.059999999999995
407,mt5,learned,3,xcopa,52.75
408,mt5,learned,3,xnli,36.870000000000005
409,mt5,learned,3,xstorycloze,52.690000000000005
410,mt5,learned,3,xwinograd,50.62
411,mt5,learned,3,SET AVG,48.998000000000005
412,mt5,learned,3,VI AVG,43.705
413,mt5,typology,1,pawsx,52.080000000000005
414,mt5,typology,1,xcopa,53.25
415,mt5,typology,1,xnli,36.85
416,mt5,typology,1,xstorycloze,52.629999999999995
417,mt5,typology,1,xwinograd,49.54
418,mt5,typology,1,SET AVG,48.87
419,mt5,typology,1,VI AVG,42.45
420,mt5,typology,3,pawsx,51.94
421,mt5,typology,3,xcopa,52.949999999999996
422,mt5,typology,3,xnli,36.65
423,mt5,typology,3,xstorycloze,52.52
424,mt5,typology,3,xwinograd,49.45
425,mt5,typology,3,SET AVG,48.702
426,mt5,typology,3,VI AVG,42.69
427,mt5,typology,2,pawsx,51.559999999999995
428,mt5,typology,2,xcopa,52.75
429,mt5,typology,2,xnli,36.870000000000005
430,mt5,typology,2,xstorycloze,53.28000000000001
431,mt5,typology,2,xwinograd,50.42
432,mt5,typology,2,SET AVG,48.976
433,mt5,typology,2,VI AVG,42.47
434,mt5,vi,1,pawsx,52.71
435,mt5,vi,1,xcopa,54.02
436,mt5,vi,1,xnli,35.56
437,mt5,vi,1,xstorycloze,52.739999999999995
438,mt5,vi,1,xwinograd,51.72
439,mt5,vi,1,SET AVG,49.35000000000001
440,mt5,vi,1,VI AVG,44.864999999999995
441,mt5,vi,3,pawsx,52.78
442,mt5,vi,3,xcopa,53.849999999999994
443,mt5,vi,3,xnli,35.69
444,mt5,vi,3,xstorycloze,52.71
445,mt5,vi,3,xwinograd,50.480000000000004
446,mt5,vi,3,SET AVG,49.102
447,mt5,vi,3,VI AVG,43.525000000000006
448,mt5,vi,2,pawsx,52.78
